"序号","仓库名称","仓库编码","事业部商品编码","事业部商品名称","商家商品编码","商家商品标识","库存状态","商品等级编码","库存类型","总库存","可用库存","事业部编码","事业部名称","计量单位","款号","颜色","尺寸","季节","年份"
"16","西安商超B仓1号库","110009210","EMG4418417149542","CERES澳洲进口无酒精脱醇甜白葡萄汁甜型无醇起泡酒红酒气泡中秋礼盒装 【花礼盒】粉兔*1 白兔*1","	","10088636202186	","良品","100","内配出锁定","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【花礼盒】粉兔*1 白兔*1","","",""
"17","沈阳酒水公共平台仓1号库","118070260","EMG4418417149542","CERES澳洲进口无酒精脱醇甜白葡萄汁甜型无醇起泡酒红酒气泡中秋礼盒装 【花礼盒】粉兔*1 白兔*1","	","10088636202186	","良品","100","内配出锁定","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【花礼盒】粉兔*1 白兔*1","","",""
"18","沈阳酒水公共平台仓1号库","118070260","EMG4418417149542","CERES澳洲进口无酒精脱醇甜白葡萄汁甜型无醇起泡酒红酒气泡中秋礼盒装 【花礼盒】粉兔*1 白兔*1","	","10088636202186	","良品","100","可用","9","9","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【花礼盒】粉兔*1 白兔*1","","",""
"19","北京酒水公共平台仓1号库","110025428","EMG4418417149542","CERES澳洲进口无酒精脱醇甜白葡萄汁甜型无醇起泡酒红酒气泡中秋礼盒装 【花礼盒】粉兔*1 白兔*1","	","10088636202186	","良品","100","可用","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【花礼盒】粉兔*1 白兔*1","","",""
"20","深圳综合KA仓2号库","118065678","EMG4418416908906","CERES【名庄进口】加拿大VQA冰酒庄园进口甜白葡萄酒甜型冰葡萄酒红酒 【自饮套餐】雷司令冰白","	","10088638015491	","良品","100","可用","14","14","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【自饮套餐】雷司令冰白","","",""
"21","成都亚一公共平台仓7号库","110021846","EMG4418416908906","CERES【名庄进口】加拿大VQA冰酒庄园进口甜白葡萄酒甜型冰葡萄酒红酒 【自饮套餐】雷司令冰白","	","10088638015491	","良品","100","可用","12","12","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【自饮套餐】雷司令冰白","","",""
"22","杭州亚一公共平台仓1号库","110016902","EMG4418416908906","CERES【名庄进口】加拿大VQA冰酒庄园进口甜白葡萄酒甜型冰葡萄酒红酒 【自饮套餐】雷司令冰白","	","10088638015491	","良品","100","仓库锁定","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【自饮套餐】雷司令冰白","","",""
"23","杭州亚一公共平台仓1号库","110016902","EMG4418416908906","CERES【名庄进口】加拿大VQA冰酒庄园进口甜白葡萄酒甜型冰葡萄酒红酒 【自饮套餐】雷司令冰白","	","10088638015491	","良品","100","可用","10","10","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【自饮套餐】雷司令冰白","","",""
"24","沈阳酒水公共平台仓1号库","118070260","EMG4418416908906","CERES【名庄进口】加拿大VQA冰酒庄园进口甜白葡萄酒甜型冰葡萄酒红酒 【自饮套餐】雷司令冰白","	","10088638015491	","良品","100","可用","14","14","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【自饮套餐】雷司令冰白","","",""
"25","北京酒水公共平台仓1号库","110025428","EMG4418416908906","CERES【名庄进口】加拿大VQA冰酒庄园进口甜白葡萄酒甜型冰葡萄酒红酒 【自饮套餐】雷司令冰白","	","10088638015491	","良品","100","可用","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【自饮套餐】雷司令冰白","","",""
"26","杭州亚一公共平台仓3号库","110022102","EMG4418416908906","CERES【名庄进口】加拿大VQA冰酒庄园进口甜白葡萄酒甜型冰葡萄酒红酒 【自饮套餐】雷司令冰白","	","10088638015491	","良品","100","可用","10","10","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【自饮套餐】雷司令冰白","","",""
"27","北京公共平台仓33号库","110021762","EMG4418416908906","CERES【名庄进口】加拿大VQA冰酒庄园进口甜白葡萄酒甜型冰葡萄酒红酒 【自饮套餐】雷司令冰白","	","10088638015491	","良品","100","可用","10","10","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【自饮套餐】雷司令冰白","","",""
"28","西安商超B仓1号库","110009210","EMG4418416908906","CERES【名庄进口】加拿大VQA冰酒庄园进口甜白葡萄酒甜型冰葡萄酒红酒 【自饮套餐】雷司令冰白","	","10088638015491	","良品","100","可用","7","7","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【自饮套餐】雷司令冰白","","",""
"29","武汉公共平台仓15号库","118065814","EMG4418416908906","CERES【名庄进口】加拿大VQA冰酒庄园进口甜白葡萄酒甜型冰葡萄酒红酒 【自饮套餐】雷司令冰白","	","10088638015491	","良品","100","可用","13","13","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【自饮套餐】雷司令冰白","","",""
"30","杭州亚一公共平台仓1号库","110016902","EMG4418292689252","【吉尔伯特金奖】意大利原瓶进口起泡酒DOCG莫斯卡托香槟酒葡萄甜白 博西奥BOSIO气泡酒DOCG级 【整箱装】桃红*6","	","POP10050808747375	","良品","100","可用","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【整箱装】桃红*6","","",""
"31","北京公共平台仓12号库","118067172","EMG4418292689252","【吉尔伯特金奖】意大利原瓶进口起泡酒DOCG莫斯卡托香槟酒葡萄甜白 博西奥BOSIO气泡酒DOCG级 【整箱装】桃红*6","	","POP10050808747375	","良品","100","可用","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【整箱装】桃红*6","","",""
"32","成都亚一公共平台仓7号库","110021846","EMG4418292689252","【吉尔伯特金奖】意大利原瓶进口起泡酒DOCG莫斯卡托香槟酒葡萄甜白 博西奥BOSIO气泡酒DOCG级 【整箱装】桃红*6","	","POP10050808747375	","良品","100","可用","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【整箱装】桃红*6","","",""
"33","沈阳公共平台仓5号库","110008173","EMG4418292689252","【吉尔伯特金奖】意大利原瓶进口起泡酒DOCG莫斯卡托香槟酒葡萄甜白 博西奥BOSIO气泡酒DOCG级 【整箱装】桃红*6","	","POP10050808747375	","良品","100","可用","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【整箱装】桃红*6","","",""
"34","深圳商超B牛奶水饮仓1号库","110021519","EMG4418292689252","【吉尔伯特金奖】意大利原瓶进口起泡酒DOCG莫斯卡托香槟酒葡萄甜白 博西奥BOSIO气泡酒DOCG级 【整箱装】桃红*6","	","POP10050808747375	","良品","100","可用","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【整箱装】桃红*6","","",""
"35","武汉商超B牛奶水饮仓1号库","110005995","EMG4418292689252","【吉尔伯特金奖】意大利原瓶进口起泡酒DOCG莫斯卡托香槟酒葡萄甜白 博西奥BOSIO气泡酒DOCG级 【整箱装】桃红*6","	","POP10050808747375	","良品","100","可用","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【整箱装】桃红*6","","",""
"36","西安商超B仓1号库","110009210","EMG4418292689252","【吉尔伯特金奖】意大利原瓶进口起泡酒DOCG莫斯卡托香槟酒葡萄甜白 博西奥BOSIO气泡酒DOCG级 【整箱装】桃红*6","	","POP10050808747375	","良品","100","可用","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【整箱装】桃红*6","","",""
"37","沈阳公共平台仓5号库","110008173","EMG4418292689252","【吉尔伯特金奖】意大利原瓶进口起泡酒DOCG莫斯卡托香槟酒葡萄甜白 博西奥BOSIO气泡酒DOCG级 【整箱装】桃红*6","	","POP10050808747375	","残品","200","可用","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【整箱装】桃红*6","","",""
"38","成都亚一公共平台仓7号库","110021846","EMG4418289535583","【吉尔伯特金奖】意大利原瓶进口起泡酒DOCG莫斯卡托香槟酒葡萄甜白 博西奥BOSIO气泡酒DOCG级 【整箱装】甜白*6","	","POP10050808747374	","良品","100","可用","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【整箱装】甜白*6","","",""
"39","北京公共平台仓12号库","118067172","EMG4418289535583","【吉尔伯特金奖】意大利原瓶进口起泡酒DOCG莫斯卡托香槟酒葡萄甜白 博西奥BOSIO气泡酒DOCG级 【整箱装】甜白*6","	","POP10050808747374	","良品","100","可用","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【整箱装】甜白*6","","",""
"40","西安商超B仓1号库","110009210","EMG4418289535583","【吉尔伯特金奖】意大利原瓶进口起泡酒DOCG莫斯卡托香槟酒葡萄甜白 博西奥BOSIO气泡酒DOCG级 【整箱装】甜白*6","	","POP10050808747374	","良品","100","可用","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【整箱装】甜白*6","","",""
"41","沈阳公共平台仓5号库","110008173","EMG4418289535583","【吉尔伯特金奖】意大利原瓶进口起泡酒DOCG莫斯卡托香槟酒葡萄甜白 博西奥BOSIO气泡酒DOCG级 【整箱装】甜白*6","	","POP10050808747374	","良品","100","可用","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【整箱装】甜白*6","","",""
"42","武汉商超B牛奶水饮仓1号库","110005995","EMG4418289535583","【吉尔伯特金奖】意大利原瓶进口起泡酒DOCG莫斯卡托香槟酒葡萄甜白 博西奥BOSIO气泡酒DOCG级 【整箱装】甜白*6","	","POP10050808747374	","良品","100","可用","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【整箱装】甜白*6","","",""
"43","杭州亚一公共平台仓1号库","110016902","EMG4418289535583","【吉尔伯特金奖】意大利原瓶进口起泡酒DOCG莫斯卡托香槟酒葡萄甜白 博西奥BOSIO气泡酒DOCG级 【整箱装】甜白*6","	","POP10050808747374	","良品","100","可用","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【整箱装】甜白*6","","",""
"44","深圳商超B牛奶水饮仓1号库","110021519","EMG4418289535583","【吉尔伯特金奖】意大利原瓶进口起泡酒DOCG莫斯卡托香槟酒葡萄甜白 博西奥BOSIO气泡酒DOCG级 【整箱装】甜白*6","	","POP10050808747374	","良品","100","可用","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【整箱装】甜白*6","","",""
"45","深圳商超B米面粮油仓1号库","110021511","EMG4418282367557","ceres澳洲原瓶原装进口无酒精葡萄酒甜型女士网红气泡酒无醇起泡酒伴手礼盒【自饮装有香槟杯】 【自饮装】无醇粉兔*2","	","POP10037106663757	","良品","100","可用","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【自饮装】无醇粉兔*2","","",""
"46","杭州亚一公共平台仓1号库","110016902","EMG4418282367557","ceres澳洲原瓶原装进口无酒精葡萄酒甜型女士网红气泡酒无醇起泡酒伴手礼盒【自饮装有香槟杯】 【自饮装】无醇粉兔*2","	","POP10037106663757	","良品","100","可用","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【自饮装】无醇粉兔*2","","",""
"47","深圳商超B牛奶水饮仓1号库","110021519","EMG4418282367557","ceres澳洲原瓶原装进口无酒精葡萄酒甜型女士网红气泡酒无醇起泡酒伴手礼盒【自饮装有香槟杯】 【自饮装】无醇粉兔*2","	","POP10037106663757	","良品","100","可用","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【自饮装】无醇粉兔*2","","",""
"48","武汉商超B牛奶水饮仓1号库","110005995","EMG4418282367557","ceres澳洲原瓶原装进口无酒精葡萄酒甜型女士网红气泡酒无醇起泡酒伴手礼盒【自饮装有香槟杯】 【自饮装】无醇粉兔*2","	","POP10037106663757	","良品","100","可用","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【自饮装】无醇粉兔*2","","",""
"49","西安商超B仓1号库","110009210","EMG4418282367557","ceres澳洲原瓶原装进口无酒精葡萄酒甜型女士网红气泡酒无醇起泡酒伴手礼盒【自饮装有香槟杯】 【自饮装】无醇粉兔*2","	","POP10037106663757	","良品","100","可用","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【自饮装】无醇粉兔*2","","",""
"50","沈阳公共平台仓5号库","110008173","EMG4418282367557","ceres澳洲原瓶原装进口无酒精葡萄酒甜型女士网红气泡酒无醇起泡酒伴手礼盒【自饮装有香槟杯】 【自饮装】无醇粉兔*2","	","POP10037106663757	","良品","100","可用","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【自饮装】无醇粉兔*2","","",""
"51","北京公共平台仓12号库","118067172","EMG4418282367557","ceres澳洲原瓶原装进口无酒精葡萄酒甜型女士网红气泡酒无醇起泡酒伴手礼盒【自饮装有香槟杯】 【自饮装】无醇粉兔*2","	","POP10037106663757	","良品","100","可用","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【自饮装】无醇粉兔*2","","",""
"52","成都亚一公共平台仓7号库","110021846","EMG4418282367557","ceres澳洲原瓶原装进口无酒精葡萄酒甜型女士网红气泡酒无醇起泡酒伴手礼盒【自饮装有香槟杯】 【自饮装】无醇粉兔*2","	","POP10037106663757	","良品","100","可用","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【自饮装】无醇粉兔*2","","",""
"53","沈阳公共平台仓5号库","110008173","EMG4418279176732","西班牙moscato莫斯卡托起泡酒女甜型白葡萄酒果酒香槟气泡酒年货礼盒装 【礼盒】洛齐甜白*1 洛齐甜红*1","	","POP10029510610738	","残品","200","可用","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【礼盒】洛齐甜白*1 洛齐甜红*1","","",""
"54","沈阳公共平台仓5号库","110008173","EMG4418279176732","西班牙moscato莫斯卡托起泡酒女甜型白葡萄酒果酒香槟气泡酒年货礼盒装 【礼盒】洛齐甜白*1 洛齐甜红*1","	","POP10029510610738	","残品","200","仓库锁定","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【礼盒】洛齐甜白*1 洛齐甜红*1","","",""
"55","西安商超B仓1号库","110009210","EMG4418279176732","西班牙moscato莫斯卡托起泡酒女甜型白葡萄酒果酒香槟气泡酒年货礼盒装 【礼盒】洛齐甜白*1 洛齐甜红*1","	","POP10029510610738	","良品","100","内配出锁定","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【礼盒】洛齐甜白*1 洛齐甜红*1","","",""
"56","北京公共平台仓12号库","118067172","EMG4418279176732","西班牙moscato莫斯卡托起泡酒女甜型白葡萄酒果酒香槟气泡酒年货礼盒装 【礼盒】洛齐甜白*1 洛齐甜红*1","	","POP10029510610738	","良品","100","在途库存","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【礼盒】洛齐甜白*1 洛齐甜红*1","","",""
"57","沈阳酒水公共平台仓1号库","118070260","EMG4418279176732","西班牙moscato莫斯卡托起泡酒女甜型白葡萄酒果酒香槟气泡酒年货礼盒装 【礼盒】洛齐甜白*1 洛齐甜红*1","	","POP10029510610738	","良品","100","可用","11","11","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【礼盒】洛齐甜白*1 洛齐甜红*1","","",""
"58","深圳商超B牛奶水饮仓1号库","110021519","EMG4418279176732","西班牙moscato莫斯卡托起泡酒女甜型白葡萄酒果酒香槟气泡酒年货礼盒装 【礼盒】洛齐甜白*1 洛齐甜红*1","	","POP10029510610738	","良品","100","可用","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【礼盒】洛齐甜白*1 洛齐甜红*1","","",""
"59","北京酒水公共平台仓1号库","110025428","EMG4418279176732","西班牙moscato莫斯卡托起泡酒女甜型白葡萄酒果酒香槟气泡酒年货礼盒装 【礼盒】洛齐甜白*1 洛齐甜红*1","	","POP10029510610738	","良品","100","可用","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【礼盒】洛齐甜白*1 洛齐甜红*1","","",""
"60","成都亚一公共平台仓7号库","110021846","EMG4418279176732","西班牙moscato莫斯卡托起泡酒女甜型白葡萄酒果酒香槟气泡酒年货礼盒装 【礼盒】洛齐甜白*1 洛齐甜红*1","	","POP10029510610738	","良品","100","可用","6","6","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【礼盒】洛齐甜白*1 洛齐甜红*1","","",""
"61","深圳综合KA仓2号库","118065678","EMG4418279176732","西班牙moscato莫斯卡托起泡酒女甜型白葡萄酒果酒香槟气泡酒年货礼盒装 【礼盒】洛齐甜白*1 洛齐甜红*1","	","POP10029510610738	","良品","100","可用","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【礼盒】洛齐甜白*1 洛齐甜红*1","","",""
"62","杭州亚一公共平台仓1号库","110016902","EMG4418279176732","西班牙moscato莫斯卡托起泡酒女甜型白葡萄酒果酒香槟气泡酒年货礼盒装 【礼盒】洛齐甜白*1 洛齐甜红*1","	","POP10029510610738	","良品","100","可用","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【礼盒】洛齐甜白*1 洛齐甜红*1","","",""
"63","西安商超B仓1号库","110009210","EMG4418279176732","西班牙moscato莫斯卡托起泡酒女甜型白葡萄酒果酒香槟气泡酒年货礼盒装 【礼盒】洛齐甜白*1 洛齐甜红*1","	","POP10029510610738	","良品","100","可用","10","10","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【礼盒】洛齐甜白*1 洛齐甜红*1","","",""
"64","沈阳公共平台仓5号库","110008173","EMG4418279176732","西班牙moscato莫斯卡托起泡酒女甜型白葡萄酒果酒香槟气泡酒年货礼盒装 【礼盒】洛齐甜白*1 洛齐甜红*1","	","POP10029510610738	","良品","100","可用","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【礼盒】洛齐甜白*1 洛齐甜红*1","","",""
"65","沈阳酒水公共平台仓1号库","118070260","EMG4418279176732","西班牙moscato莫斯卡托起泡酒女甜型白葡萄酒果酒香槟气泡酒年货礼盒装 【礼盒】洛齐甜白*1 洛齐甜红*1","	","POP10029510610738	","良品","100","内配出锁定","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【礼盒】洛齐甜白*1 洛齐甜红*1","","",""
"66","北京公共平台仓12号库","118067172","EMG4418279176732","西班牙moscato莫斯卡托起泡酒女甜型白葡萄酒果酒香槟气泡酒年货礼盒装 【礼盒】洛齐甜白*1 洛齐甜红*1","	","POP10029510610738	","良品","100","可用","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【礼盒】洛齐甜白*1 洛齐甜红*1","","",""
"67","深圳商超B米面粮油仓1号库","110021511","EMG4418279176732","西班牙moscato莫斯卡托起泡酒女甜型白葡萄酒果酒香槟气泡酒年货礼盒装 【礼盒】洛齐甜白*1 洛齐甜红*1","	","POP10029510610738	","良品","100","可用","35","35","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【礼盒】洛齐甜白*1 洛齐甜红*1","","",""
"68","武汉公共平台仓15号库","118065814","EMG4418279176732","西班牙moscato莫斯卡托起泡酒女甜型白葡萄酒果酒香槟气泡酒年货礼盒装 【礼盒】洛齐甜白*1 洛齐甜红*1","	","POP10029510610738	","良品","100","可用","16","16","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【礼盒】洛齐甜白*1 洛齐甜红*1","","",""
"69","深圳商超B牛奶水饮仓1号库","110021519","EMG4418279176732","西班牙moscato莫斯卡托起泡酒女甜型白葡萄酒果酒香槟气泡酒年货礼盒装 【礼盒】洛齐甜白*1 洛齐甜红*1","	","POP10029510610738	","良品","100","仓库锁定","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【礼盒】洛齐甜白*1 洛齐甜红*1","","",""
"70","武汉商超B牛奶水饮仓1号库","110005995","EMG4418279176732","西班牙moscato莫斯卡托起泡酒女甜型白葡萄酒果酒香槟气泡酒年货礼盒装 【礼盒】洛齐甜白*1 洛齐甜红*1","	","POP10029510610738	","良品","100","可用","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【礼盒】洛齐甜白*1 洛齐甜红*1","","",""
"71","武汉公共平台仓15号库","118065814","EMG4418279176732","西班牙moscato莫斯卡托起泡酒女甜型白葡萄酒果酒香槟气泡酒年货礼盒装 【礼盒】洛齐甜白*1 洛齐甜红*1","	","POP10029510610738	","良品","100","内配出锁定","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【礼盒】洛齐甜白*1 洛齐甜红*1","","",""
"72","杭州亚一公共平台仓1号库","110016902","EMG4418279176732","西班牙moscato莫斯卡托起泡酒女甜型白葡萄酒果酒香槟气泡酒年货礼盒装 【礼盒】洛齐甜白*1 洛齐甜红*1","	","POP10029510610738	","良品","100","仓库锁定","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【礼盒】洛齐甜白*1 洛齐甜红*1","","",""
"73","北京公共平台仓33号库","110021762","EMG4418279176732","西班牙moscato莫斯卡托起泡酒女甜型白葡萄酒果酒香槟气泡酒年货礼盒装 【礼盒】洛齐甜白*1 洛齐甜红*1","	","POP10029510610738	","良品","100","可用","40","40","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【礼盒】洛齐甜白*1 洛齐甜红*1","","",""
"74","杭州亚一公共平台仓3号库","110022102","EMG4418279176732","西班牙moscato莫斯卡托起泡酒女甜型白葡萄酒果酒香槟气泡酒年货礼盒装 【礼盒】洛齐甜白*1 洛齐甜红*1","	","POP10029510610738	","良品","100","可用","29","29","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【礼盒】洛齐甜白*1 洛齐甜红*1","","",""
"75","成都亚一公共平台仓7号库","110021846","EMG4418279176312","ceres澳洲原瓶原装进口无酒精葡萄酒甜型女士香槟网红气泡酒无醇起泡酒伴手礼盒 【礼盒装】无醇粉兔*1 无醇白兔*1","	","POP10037106663759	","良品","100","仓库锁定","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【礼盒装】无醇粉兔*1 无醇白兔*1","","",""
"76","北京公共平台仓12号库","118067172","EMG4418279176312","ceres澳洲原瓶原装进口无酒精葡萄酒甜型女士香槟网红气泡酒无醇起泡酒伴手礼盒 【礼盒装】无醇粉兔*1 无醇白兔*1","	","POP10037106663759	","良品","100","可用","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【礼盒装】无醇粉兔*1 无醇白兔*1","","",""
"77","成都亚一公共平台仓7号库","110021846","EMG4418279176312","ceres澳洲原瓶原装进口无酒精葡萄酒甜型女士香槟网红气泡酒无醇起泡酒伴手礼盒 【礼盒装】无醇粉兔*1 无醇白兔*1","	","POP10037106663759	","良品","100","内配出锁定","0","0","EBU4418054743372","杭州舍岭网络科技有限公司","件","","【礼盒装】无醇粉兔*1 无醇白兔*1","","",""
